Date,Call Volume,Put Volume,Underlying Price,Rvol_100d,ATM IV,IVol - Rvol
12/09/2024,334,338,162.89,0.71,0.7533,0.0432
13/09/2024,309,309,163.05,0.7057,0.7286,0.0229
16/09/2024,270,270,161.5,0.7015,0.7498,0.0483
17/09/2024,278,278,162.45,0.7016,0.7628,0.0612
18/09/2024,275,276,162.64,0.6954,0.7242,0.0288
19/09/2024,333,338,168.24,0.687,0.7491,0.0621
20/09/2024,284,284,170.09,0.6794,0.7206,0.0412
23/09/2024,286,287,170.22,0.6776,0.7355,0.0579
24/09/2024,278,278,171.68,0.6631,0.6915,0.0284
25/09/2024,278,279,167.08,0.6633,0.7089,0.0456
26/09/2024,385,387,179.93,0.6738,0.7264,0.0525
27/09/2024,409,411,191.23,0.6754,0.7669,0.0914
30/09/2024,333,333,178.17,0.6841,0.7639,0.0798
01/10/2024,389,391,165.01,0.6944,0.7897,0.0954
02/10/2024,306,307,164.47,0.6908,0.7616,0.0708
03/10/2024,283,283,163.1,0.6908,0.7864,0.0956
04/10/2024,286,286,170.91,0.6945,0.7664,0.0719
07/10/2024,282,283,168.92,0.6822,0.7992,0.117
08/10/2024,261,261,167.69,0.6646,0.7751,0.1106
09/10/2024,269,270,166.97,0.6609,0.7752,0.1142
10/10/2024,283,285,164.27,0.6476,0.7548,0.1072
11/10/2024,361,362,176.38,0.6582,0.7518,0.0936
14/10/2024,442,445,196.35,0.6795,0.7974,0.1179
15/10/2024,440,440,196.34,0.6739,0.8132,0.1393
16/10/2024,462,464,210.48,0.6701,0.8187,0.1486
17/10/2024,349,350,204.2,0.6698,0.8044,0.1346
18/10/2024,393,396,220.21,0.6788,0.81,0.1312
21/10/2024,418,420,213.72,0.6803,0.7691,0.0888
22/10/2024,343,344,210.72,0.678,0.7902,0.1123
23/10/2024,383,383,198.93,0.6827,0.7676,0.0849
24/10/2024,375,377,209.16,0.682,0.7821,0.1001
25/10/2024,328,328,205.04,0.6808,0.7702,0.0894
28/10/2024,346,346,216.1,0.6853,0.7795,0.0943
29/10/2024,401,402,219.66,0.6812,0.7922,0.1111
30/10/2024,407,408,211.74,0.6824,0.7782,0.0958
31/10/2024,489,490,179.25,0.7302,0.7661,0.0359
01/11/2024,387,388,182.88,0.7274,0.7518,0.0244
04/11/2024,426,426,186.27,0.727,0.748,0.0209
05/11/2024,364,364,193.96,0.7301,0.7626,0.0325
06/11/2024,611,614,254.31,0.8492,0.7334,-0.1158
07/11/2024,488,491,255.58,0.847,0.7157,-0.1314
08/11/2024,498,504,270.74,0.8518,0.7156,-0.1361
11/11/2024,635,642,324.24,0.8952,0.7948,-0.1004
12/11/2024,571,591,319.13,0.8896,0.7874,-0.1022
13/11/2024,635,638,284.72,0.9069,0.7661,-0.1407
14/11/2024,567,567,278.84,0.9059,0.7325,-0.1734
15/11/2024,531,533,305.85,0.9149,0.7905,-0.1244
18/11/2024,621,621,325.41,0.9194,0.8269,-0.0925
19/11/2024,539,545,324.57,0.9166,0.8348,-0.0819
20/11/2024,595,601,320.01,0.9159,0.8212,-0.0947
21/11/2024,638,640,295.23,0.9253,0.8443,-0.081
22/11/2024,496,497,304.64,0.9263,0.8297,-0.0966
25/11/2024,481,484,312.22,0.9265,0.8516,-0.0749
26/11/2024,488,491,293.29,0.9324,0.7825,-0.1499
27/11/2024,454,467,310.98,0.9365,0.7695,-0.167
29/11/2024,363,364,296.2,0.9393,0.7614,-0.1779
02/12/2024,387,394,302.4,0.9395,0.7755,-0.164
03/12/2024,406,408,309.35,0.925,0.755,-0.17
04/12/2024,477,477,330.94,0.9293,0.7688,-0.1605
05/12/2024,521,534,320.57,0.9307,0.7785,-0.1523
06/12/2024,489,490,343.62,0.9302,0.8167,-0.1135
09/12/2024,491,493,310.52,0.9321,0.7651,-0.167
10/12/2024,472,472,302.42,0.9323,0.759,-0.1733
11/12/2024,457,458,313.81,0.9327,0.7584,-0.1743
12/12/2024,377,383,312.96,0.929,0.7924,-0.1366
13/12/2024,343,343,310.58,0.9243,0.7572,-0.167
16/12/2024,428,428,315.31,0.9216,0.7545,-0.1671
17/12/2024,407,413,311.64,0.9198,0.7482,-0.1716
18/12/2024,498,498,279.86,0.9337,0.7902,-0.1434
19/12/2024,480,480,273.92,0.9344,0.7851,-0.1493
20/12/2024,404,404,278.71,0.9304,0.7764,-0.154
23/12/2024,415,415,268.15,0.9304,0.7601,-0.1703
24/12/2024,344,344,279.62,0.9237,0.7661,-0.1576
26/12/2024,361,361,274.41,0.9238,0.7713,-0.1526
27/12/2024,383,383,265.71,0.9155,0.7586,-0.1569
30/12/2024,428,428,255.56,0.9114,0.7399,-0.1714
31/12/2024,417,417,248.3,0.9123,0.7489,-0.1635
02/01/2025,386,393,257.21,0.9129,0.7198,-0.193
03/01/2025,399,399,270.65,0.9149,0.7549,-0.16
06/01/2025,430,431,287.76,0.9193,0.751,-0.1683
07/01/2025,400,400,264.33,0.93,0.7508,-0.1792
08/01/2025,383,383,260.01,0.9285,0.7941,-0.1345
10/01/2025,351,357,258.78,0.9285,0.7504,-0.1781
13/01/2025,397,399,251.2,0.9279,0.7521,-0.1759
14/01/2025,333,335,255.37,0.9258,0.7533,-0.1724
15/01/2025,411,417,274.93,0.9304,0.7518,-0.1786
16/01/2025,395,406,281.63,0.926,0.7569,-0.1691
17/01/2025,439,441,295.48,0.9267,0.7688,-0.1579
21/01/2025,463,464,294.19,0.9253,0.7646,-0.1607
22/01/2025,392,395,295.85,0.9224,0.7567,-0.1657
23/01/2025,364,373,296.01,0.9221,0.7615,-0.1607
24/01/2025,412,412,298,0.9208,0.7381,-0.1827
27/01/2025,464,464,277.99,0.9183,0.728,-0.1903
28/01/2025,355,357,281.82,0.9161,0.7247,-0.1914
29/01/2025,330,335,291,0.916,0.7305,-0.1855
30/01/2025,373,376,301.3,0.9065,0.7244,-0.1821
31/01/2025,338,339,291.33,0.9061,0.7258,-0.1802
03/02/2025,411,415,284.41,0.907,0.7218,-0.1852
04/02/2025,342,342,280.39,0.9073,0.7174,-0.1899
05/02/2025,317,320,275.14,0.9068,0.7172,-0.1896
06/02/2025,349,351,270.37,0.9075,0.6902,-0.2173
07/02/2025,336,336,274.49,0.9074,0.6981,-0.2093
10/02/2025,347,347,280.22,0.9077,0.696,-0.2117
11/02/2025,390,392,266.9,0.9117,0.6865,-0.2252
12/02/2025,377,378,274.9,0.9114,0.6781,-0.2333
13/02/2025,543,546,298.11,0.9193,0.7136,-0.2057
14/02/2025,468,472,274.31,0.9301,0.648,-0.2821
18/02/2025,437,438,264.63,0.9323,0.6317,-0.3006
19/02/2025,404,407,258.67,0.932,0.6201,-0.3119
20/02/2025,419,422,256.59,0.9254,0.6145,-0.3109
21/02/2025,489,489,235.38,0.9317,0.6527,-0.2789
24/02/2025,478,478,227.07,0.9264,0.6506,-0.2758
25/02/2025,547,547,212.49,0.9243,0.6807,-0.2435
26/02/2025,449,449,212.96,0.9242,0.6832,-0.241
27/02/2025,417,418,208.37,0.9249,0.6761,-0.2487
28/02/2025,413,413,215.62,0.9236,0.6512,-0.2724
03/03/2025,465,465,205.75,0.9266,0.7241,-0.2025
04/03/2025,509,509,212.55,0.9277,0.7283,-0.1995
05/03/2025,385,385,222.45,0.9302,0.7181,-0.2121
06/03/2025,400,401,214.17,0.932,0.7358,-0.1961
07/03/2025,345,345,217.45,0.9257,0.7293,-0.1964
10/03/2025,517,517,179.23,0.9611,0.8143,-0.1468
11/03/2025,457,457,191.69,0.9671,0.7797,-0.1874
12/03/2025,368,368,191.73,0.9607,0.7366,-0.2241
13/03/2025,403,403,177.49,0.9672,0.7674,-0.1997
14/03/2025,401,404,183.12,0.9607,0.7042,-0.2566
17/03/2025,385,388,188.96,0.9611,0.7009,-0.2602
18/03/2025,333,336,181.14,0.9631,0.7143,-0.2488
19/03/2025,371,371,189.75,0.9618,0.7135,-0.2483
20/03/2025,301,320,190.38,0.9584,0.6674,-0.2911
21/03/2025,311,317,189.86,0.958,0.6761,-0.2819
24/03/2025,379,391,203.04,0.9603,0.6623,-0.298
25/03/2025,369,375,204.23,0.96,0.6504,-0.3096
26/03/2025,312,313,193.95,0.9617,0.6594,-0.3023
27/03/2025,338,338,188.58,0.9254,0.6439,-0.2815
28/03/2025,408,408,173.93,0.9338,0.687,-0.2468
31/03/2025,409,410,172.23,0.9334,0.7037,-0.2297
01/04/2025,330,332,174.52,0.9314,0.7022,-0.2292
02/04/2025,363,375,182.95,0.8269,0.6778,-0.1491
03/04/2025,401,408,170.76,0.8333,0.729,-0.1043
04/04/2025,447,447,160.55,0.8324,0.825,-0.0074
07/04/2025,456,456,157.28,0.7776,0.8156,0.038
08/04/2025,393,395,151.47,0.779,0.8491,0.0701
09/04/2025,443,446,177.09,0.8027,0.6997,-0.103
10/04/2025,358,369,169.62,0.8046,0.7641,-0.0405
11/04/2025,335,335,175.5,0.7918,0.7534,-0.0384
14/04/2025,334,335,176.58,0.7846,0.7441,-0.0405
15/04/2025,295,300,175.57,0.7846,0.7,-0.0846
16/04/2025,274,282,172.21,0.7848,0.7237,-0.0611
17/04/2025,276,278,175.03,0.7765,0.6717,-0.1047
21/04/2025,285,289,175,0.7743,0.7205,-0.0538
22/04/2025,434,435,190,0.7853,0.7177,-0.0676
23/04/2025,399,405,194.8,0.7813,0.6736,-0.1076
24/04/2025,367,376,203.87,0.7789,0.6631,-0.1157
25/04/2025,342,356,209.64,0.7773,0.6639,-0.1133
28/04/2025,335,339,205.27,0.7768,0.6627,-0.114
29/04/2025,273,273,206.13,0.7757,0.66,-0.1157
30/04/2025,293,296,202.89,0.7674,0.6449,-0.1224
01/05/2025,344,346,201.3,0.7662,0.6647,-0.1015
02/05/2025,335,339,204.93,0.7578,0.6334,-0.1244
05/05/2025,323,324,199.4,0.7429,0.6352,-0.1077
06/05/2025,307,308,196.89,0.7422,0.6424,-0.0997
07/05/2025,289,294,196.56,0.7392,0.6412,-0.098
08/05/2025,441,445,206.5,0.7442,0.6365,-0.1077
09/05/2025,384,384,199.32,0.7458,0.6161,-0.1297
12/05/2025,383,394,207.22,0.7483,0.5871,-0.1612
13/05/2025,650,654,256.9,0.8251,0.6576,-0.1675
14/05/2025,536,543,263.41,0.8086,0.6317,-0.1769
15/05/2025,542,561,244.44,0.8165,0.6338,-0.1826
16/05/2025,558,569,266.46,0.8277,0.6396,-0.1881
19/05/2025,451,452,263.99,0.8256,0.6506,-0.1749
20/05/2025,441,443,261.38,0.8229,0.6391,-0.1839
21/05/2025,468,469,258.99,0.8225,0.6524,-0.1702
22/05/2025,519,530,271.95,0.8247,0.662,-0.1627
23/05/2025,401,401,263.16,0.824,0.635,-0.189
27/05/2025,367,375,266.4,0.8229,0.6212,-0.2016
28/05/2025,407,409,254.29,0.8244,0.608,-0.2164
29/05/2025,413,416,248.84,0.821,0.6258,-0.1952
30/05/2025,349,351,246.62,0.815,0.5962,-0.2188
02/06/2025,342,355,246.72,0.8039,0.5834,-0.2205
03/06/2025,392,393,258.91,0.8073,0.6051,-0.2022
04/06/2025,342,347,256,0.8074,0.6122,-0.1952
05/06/2025,402,407,244.2,0.8095,0.5945,-0.2151
06/06/2025,320,324,251.27,0.8104,0.56,-0.2504
09/06/2025,294,294,256.63,0.8024,0.5662,-0.2363
10/06/2025,316,316,254.94,0.8015,0.5782,-0.2233
11/06/2025,327,330,250.68,0.798,0.5694,-0.2286
12/06/2025,379,380,241.05,0.8002,0.5659,-0.2343
13/06/2025,354,361,242.71,0.8003,0.5716,-0.2286
16/06/2025,395,399,261.57,0.8095,0.578,-0.2315
17/06/2025,335,339,253.85,0.8107,0.5839,-0.2267
18/06/2025,591,618,295.29,0.8388,0.6313,-0.2076
20/06/2025,530,550,308.38,0.8413,0.632,-0.2093
23/06/2025,489,495,307.59,0.8399,0.6002,-0.2397
24/06/2025,684,694,344.82,0.8574,0.6035,-0.2539
25/06/2025,611,661,355.37,0.8568,0.6233,-0.2334
26/06/2025,708,719,375.07,0.8597,0.6467,-0.213
27/06/2025,618,644,353.43,0.8649,0.6378,-0.2271
30/06/2025,517,525,350.49,0.8644,0.6346,-0.2298
01/07/2025,546,552,335.33,0.867,0.6142,-0.2528
02/07/2025,474,478,354.45,0.8709,0.6362,-0.2347
03/07/2025,335,348,355.8,0.8704,0.6186,-0.2518
07/07/2025,396,422,357.1,0.8666,0.6266,-0.24
08/07/2025,404,419,354.82,0.8656,0.6199,-0.2457
09/07/2025,483,495,373.85,0.8602,0.6145,-0.2457
10/07/2025,509,546,388.96,0.8511,0.6552,-0.196
11/07/2025,497,516,387.06,0.8489,0.6288,-0.2201
14/07/2025,532,534,394.01,0.8481,0.6263,-0.2218
15/07/2025,490,494,388.02,0.8485,0.6258,-0.2227
16/07/2025,537,544,398.2,0.8366,0.6272,-0.2094
17/07/2025,564,585,410.75,0.835,0.6001,-0.2349
18/07/2025,632,658,419.78,0.8272,0.6339,-0.1933
21/07/2025,532,532,413.63,0.8279,0.6273,-0.2006
22/07/2025,514,517,404.44,0.828,0.6271,-0.2008
23/07/2025,521,526,397.81,0.8276,0.6045,-0.223
24/07/2025,412,417,396.7,0.8233,0.6002,-0.2232
25/07/2025,423,424,391.66,0.8229,0.5914,-0.2314
28/07/2025,525,527,379.49,0.8226,0.5948,-0.2278
29/07/2025,476,478,371.44,0.8208,0.5983,-0.2225
30/07/2025,435,445,377.48,0.8208,0.5899,-0.2309
31/07/2025,494,507,377.76,0.7564,0.5802,-0.1762
01/08/2025,676,676,314.69,0.8084,0.6115,-0.197
04/08/2025,517,518,318.17,0.8084,0.5678,-0.2407
05/08/2025,575,579,297.99,0.8056,0.5994,-0.2062
06/08/2025,552,559,303.58,0.8048,0.5883,-0.2165
07/08/2025,514,515,310.79,0.8043,0.5719,-0.2324
08/08/2025,456,458,310.54,0.8008,0.5606,-0.2402
11/08/2025,578,581,319.62,0.7989,0.5684,-0.2305
12/08/2025,473,481,322.62,0.799,0.5658,-0.2331
13/08/2025,520,521,327.01,0.799,0.5722,-0.2268
14/08/2025,418,428,324.89,0.793,0.5756,-0.2174
15/08/2025,366,367,317.55,0.7942,0.5706,-0.2237
18/08/2025,418,418,320.73,0.7892,0.5563,-0.2328
19/08/2025,487,488,302.07,0.7942,0.5836,-0.2106
20/08/2025,498,499,304.39,0.7822,0.5689,-0.2133
21/08/2025,368,371,300.28,0.7824,0.5641,-0.2184
22/08/2025,448,449,319.85,0.7877,0.561,-0.2266
25/08/2025,417,418,306,0.7889,0.5621,-0.2269
26/08/2025,405,405,308.48,0.7799,0.5599,-0.22
27/08/2025,380,380,308.97,0.7724,0.5663,-0.206
28/08/2025,352,353,308.47,0.7713,0.5378,-0.2335
29/08/2025,338,341,304.54,0.7686,0.5461,-0.2225
02/09/2025,366,366,303.56,0.7306,0.5496,-0.181
03/09/2025,357,357,302.31,0.7306,0.5923,-0.1382
04/09/2025,345,351,306.8,0.7306,0.5405,-0.1901
05/09/2025,423,425,299.07,0.7306,0.5437,-0.1869
08/09/2025,376,377,302.2,0.7306,0.5346,-0.1959
09/09/2025,414,422,318.78,0.7306,0.5495,-0.181
10/09/2025,411,414,315.34,0.7306,0.58,-0.1506
